C0,C1,C2,C3,C4,Content
4,1,1,1,1,차량의 운전석 탑승
4,1,1,1,2,시동을 끈다
4,1,1,1,3,계기판의 전원 상태를 확인한다
4,1,1,1,4,챠량에서 내린다
4,2,1,1,1,차량 트렁크 앞으로 이동
4,2,1,2,1,차량 트렁크 문 손잡이 잡아당기기
4,2,1,2,2,손잡이 놓기
4,2,1,3,1,배터리 커버 위치 확인
4,2,1,3,2,배터리 커버 잠금장치 확인
4,2,1,3,3,배터리 커버 잠금장치를 잡기
4,2,1,3,4,배터리 커버 잠금장치를 잡은 상태에서 반시계 방향으로 90도 회전
4,2,1,3,5,배터리 커버 잠금장치를 잡아 당기기
4,2,2,1,1,10mm 소켓-전동 임팩 렌치를 잡기
4,2,2,1,2,임팩 렌치를 보조배터리 (-)단자 고정 너트에 맞추기
4,2,2,1,3,너트를 푸는 방향으로 임팩 렌치를 작동시키기
4,2,2,1,4,너트 치우기
4,2,2,1,5,임팩 렌치 치우기
4,2,2,2,1,(-)단자를 잡기
4,2,2,2,2,(-)단자를 위쪽으로 뽑기
4,2,2,2,3,(-)단자를 옆으로 치워 놓기
4,2,3,1,1,우측 뒤 도어로 이동
4,2,3,2,1,앞에 있는 도어 열기
4,2,3,3,1,크립 공구를 잡기
4,2,3,3,2,크립 공구를 고정핀에 갖다 대기
4,2,3,3,3,크립 공구로 고정핀을 잡아 당기기
4,2,3,3,4,고정핀 치우기
4,2,3,3,5,나머지 고정핀 1개에 대해 2.3.3.2 ~ 2.3.3.4 반복
4,2,3,3,6,크립 공구 치우기
4,2,3,4,1,안전플러그 커버를 잡기
4,2,3,4,2,안전플러그 커버를 잡아 당기기
4,2,3,4,3,안전플러그 커버를 치우기
4,2,4,1,1,로크를 잡기
4,2,4,1,2,로크를 잡아 당기기
4,2,4,1,3,로크 레버를 잡기
4,2,4,1,4,로크 레버를 잡아 당겨 90도로 젖히기
4,2,4,1,5,안전플러그를 뽑기
4,2,4,1,6,안전플러그를 치우기
4,2,5,1,1,엔진 룸 앞으로 이동
4,2,5,2,1,차량 본네트 열기
4,2,5,3,1,십자 드라이버 잡기
4,2,5,3,2,드라이버를 에어 덕트 한 쪽 부분의 고정클립에 맞추기
4,2,5,3,3,드라이버로 고정클립을 풀기
4,2,5,3,4,반대편 고정 클립 1개에 대해 2.5.3.1 ~ 2.5.3.3 반복
4,2,5,3,5,고정클립이 풀린 쪽의 에어덕트를 분리
4,2,5,3,6,에어덕트의 반대편 부분에 대해서 2.5.3.1 ~ 2.5.3.5 반복
4,2,5,4,1,에어덕트 잡기
4,2,5,4,2,에어덕트 꺼내기
4,2,5,4,3,에어덕트 치우기
4,2,5,5,1,십자 드라이버 잡기
4,2,5,5,2,드라이버를 에어흡기 호스와 에어클리너의 연결 부분 근처의 볼트에 맞추기
4,2,5,5,3,드라이버로 볼트를 풀기
4,2,5,5,4,고정 볼트를 치우기
4,2,5,5,5,드라이버 치우기
4,2,5,6,1,에어 흡기 호스 잡기
4,2,5,6,2,에어 흡기 호스 분리
4,2,5,7,1,센서 커넥터 초크를 잡기
4,2,5,7,2,센서 커넥터 초크를 누르기
4,2,5,7,3,센서 커넥터 분리
4,2,5,8,1,롱로즈 플라이어 잡기
4,2,5,8,2,롱로즈 플라이어로 흡입공기량 센서 와이어링 고정 부분을 잡기
4,2,5,8,3,해당 고정 부분에 고정된 브리더 호스 떼어내기
4,2,5,8,4,다른 쪽 고정 부분에 대해서 2.5.8.1 ~ 2.5.8.3 반복
4,2,5,9,,
4,2,5,10,1,10mm 소켓-전동 임팩 렌치를 잡기
4,2,5,10,2,임팩 렌치를 에어클리너 고정 볼트에 맞추기
4,2,5,10,3,볼트를 푸는 방향으로 임팩 렌치를 작동시키기
4,2,5,10,4,고정 볼트를 치우기
4,2,5,10,5,나머지 고정 볼트 1개에 대해 2.5.10.2 ~ 2.5.10.4 반복
4,2,5,10,6,임팩 렌치를 치우기
4,2,5,11,1,에어클리너 어셈블리를 잡기
4,2,5,11,2,에어클리너 어셈블리를 들어 올리기
4,2,5,11,3,에어클리너 어셈블리를 치우기
4,2,6,1,1,크립 공구 또는 일자 드라이버를 잡기
4,2,6,1,2,크립 공구 또는 일자 드라이버를 인버터 파워 케이블 로크 아래에 갖다 대기
4,2,6,1,3,인버터 파워 케이블 로크를 위로 뽑기
4,2,6,1,4,고정 레버와 고정 푸시 레버를 동시에 잡기
4,2,6,1,5,고정 푸시 레버를 밀어주는 동시에 고정 레버를 90도로 당기기
4,2,6,1,6,인버터 파워 케이블을 잡기
4,2,6,1,7,인버터 파워 케이블을 뽑기
4,2,6,1,8,크립 공구 또는 일자 드라이버 치우기
4,2,7,1,1,전압계를 잡기
4,2,7,1,2,전압계의 붉은 색 단자를 인버터 파워 단자의 위쪽 구멍에 연결
4,2,7,1,3,전압계의 검은 색 단자를 인버터 파워 단자의 아래쪽 구멍에 연결
4,2,7,2,1,전압계 수치 확인
4,2,7,2,2,전압계를 인버터 파워로부터 분리
4,2,7,2,3,전압계를 치우기
4,3,1,1,1,12mm 소켓-전동 임팩 렌치를 잡기
4,3,1,1,2,임팩 렌치를 시트 고정 볼트에 맞추기
4,3,1,1,3,볼트를 푸는 방향으로 임팩 렌치를 작동시키기
4,3,1,1,4,고정 볼트를 치우기
4,3,1,1,5,나머지 고정 볼트 1개에 대해 3.1.1.2 ~ 3.1.1.4 반복
4,3,1,1,6,임팩 렌치 치우기
4,3,1,2,1,리어 쿠션 시트 잡기
4,3,1,2,2,리어 쿠션 시트 위쪽으로 들기
4,3,1,2,3,리어 쿠션 시트치우기
4,4,1,1,1,사이드 웨더 스트립 잡기
4,4,1,1,2,사이드 웨더 스트립 뜯어내기
